country,country_name,topsis_score,rank,population,gdp_per_capita,gdp_growth
SGP,Singapore,0.6713919230634177,1,6111175.0,98813.9788172877,5.194205027530888
THA,Thailand,0.4944618932550537,2,71619863.0,8056.56359761558,2.3672666303945737
VNM,Vietnam,0.49431321511744253,3,101598527.0,5065.99091899299,6.225654098901522
MYS,Malaysia,0.43879838923008296,4,35977838.0,13124.5554178269,5.23217612357857
IDN,Indonesia,0.3071826934405166,5,285721236.0,5059.62596411213,4.83991556974922
