country,indicator,year,value,country_name,indicator_code,indicator_name,description,dimension,role,direction,unit,source,collection_date,aggregation,lookback_years,normalization,required,validation,normalized_score,dimension_weight
THA,FS.AST.PRVT.GD.ZS,2025,143.08365214331,Thailand,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},100.0,0.2
VNM,FS.AST.PRVT.GD.ZS,2022,124.961478822546,Vietnam,FS.AST.PRVT.GD.ZS,Private Sector Credit,Domestic credit to private sector as percentage of GDP,Business Environment,Business Financing Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},83.03172913402845,0.2
IDN,GC.DOD.TOTL.GD.ZS,2009,29.997306381567,Indonesia,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},100.0,0.25
MYS,GC.DOD.TOTL.GD.ZS,2024,64.566529006102,Malaysia,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},74.91394119217253,0.25
SGP,GC.DOD.TOTL.GD.ZS,2024,167.799832036767,Singapore,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.0,0.25
THA,GC.DOD.TOTL.GD.ZS,2024,61.861415782411,Thailand,GC.DOD.TOTL.GD.ZS,Government Debt,Central government debt as percentage of GDP,Economic Stability,Fiscal Sustainability Indicator,cost,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},76.87697721842038,0.25
IDN,IC.BUS.NDNS.ZS,2024,0.943582664263138,Indonesia,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.0,0.2
MYS,IC.BUS.NDNS.ZS,2024,2.37877480507523,Malaysia,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},13.477105320658653,0.2
SGP,IC.BUS.NDNS.ZS,2024,11.5926954126226,Singapore,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},100.0,0.2
THA,IC.BUS.NDNS.ZS,2024,1.74887101826675,Thailand,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},7.562022987573963,0.2
VNM,IC.BUS.NDNS.ZS,2024,1.99943682366206,Vietnam,IC.BUS.NDNS.ZS,New Business Density,"Newly registered businesses per 1,000 working-age adults",Business Environment,Entrepreneurship Indicator,benefit,"Businesses per 1,000 adults",World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},9.914949577011292,0.2
IDN,IT.NET.BBND.P2,2024,4.92196685438436,Indonesia,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.0,0.15
MYS,IT.NET.BBND.P2,2024,13.5464432669708,Malaysia,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},37.675143692679356,0.15
